Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2024-06-10 00:00:00-04:00,120.36011722924495,123.08988875291695,117.00039256259637,121.77999877929688,314162700,0.0,10.0,NVDA
2024-06-11 00:00:00-04:00,121.7699966430664,122.87000274658203,118.73999786376953,120.91000366210938,222551200,0.01,0.0,NVDA
2024-06-12 00:00:00-04:00,123.05999755859375,126.87999725341797,122.56999969482422,125.19999694824219,299595000,0.0,0.0,NVDA
2024-06-13 00:00:00-04:00,129.38999938964844,129.8000030517578,127.16000366210938,129.61000061035156,260704500,0.0,0.0,NVDA
2024-06-14 00:00:00-04:00,129.9600067138672,132.83999633789062,128.32000732421875,131.8800048828125,309320400,0.0,0.0,NVDA
2024-06-17 00:00:00-04:00,132.99000549316406,133.72999572753906,129.5800018310547,130.97999572753906,288504400,0.0,0.0,NVDA
2024-06-18 00:00:00-04:00,131.13999938964844,136.3300018310547,130.69000244140625,135.5800018310547,294335100,0.0,0.0,NVDA
2024-06-20 00:00:00-04:00,139.8000030517578,140.75999450683594,129.52000427246094,130.77999877929688,517768400,0.0,0.0,NVDA
2024-06-21 00:00:00-04:00,127.12000274658203,130.6300048828125,124.30000305175781,126.56999969482422,655484700,0.0,0.0,NVDA
2024-06-24 00:00:00-04:00,123.23999786376953,124.45999908447266,118.04000091552734,118.11000061035156,476060900,0.0,0.0,NVDA
2024-06-25 00:00:00-04:00,121.19999694824219,126.5,119.31999969482422,126.08999633789062,425787500,0.0,0.0,NVDA
2024-06-26 00:00:00-04:00,126.12999725341797,128.1199951171875,122.5999984741211,126.4000015258789,362975900,0.0,0.0,NVDA
2024-06-27 00:00:00-04:00,124.0999984741211,126.41000366210938,122.91999816894531,123.98999786376953,252571700,0.0,0.0,NVDA
2024-06-28 00:00:00-04:00,124.58000183105469,127.70999908447266,122.75,123.54000091552734,315516700,0.0,0.0,NVDA
2024-07-01 00:00:00-04:00,123.47000122070312,124.83999633789062,118.83000183105469,124.30000305175781,284885500,0.0,0.0,NVDA
2024-07-02 00:00:00-04:00,121.12999725341797,123.41000366210938,121.02999877929688,122.66999816894531,218374000,0.0,0.0,NVDA
