Symbol,LatestDate,LatestPrice,EarliestDate,EarliestPrice,DaysCovered,PerformancePercent
TSLA,2024-07-09,262.3299865722656,2024-06-10,173.7899932861328,29,50.94654278532483
AAPL,2024-07-09,228.67999267578125,2024-06-10,193.1199951171875,29,18.413420908081278
NVDA,2024-07-09,131.3800048828125,2024-06-10,121.77999877929688,29,7.883072918167631
GOOG,2024-07-09,190.44000244140625,2024-06-10,176.6300048828125,29,7.818602262824018
MSFT,2024-07-09,459.5400085449219,2024-06-10,427.8699951171875,29,7.40178413750663
AMZN,2024-07-09,199.33999633789062,2024-06-10,187.05999755859375,29,6.5647380196561524
BAC,2024-07-09,41.41999816894531,2024-06-10,39.66999816894531,29,4.411394204121604
F,2024-07-09,12.899999618530273,2024-06-10,12.380000114440918,29,4.20031905720898
EMR,2024-07-09,109.58999633789062,2024-06-10,108.7300033569336,29,0.7909435798818913
XXII,2024-07-09,0.6628999710083008,2024-06-10,0.7049999833106995,29,-5.971633092059926
